mark,tag,title,link
cache,visualization,1 dataset 100 visualizations,https://100.datavizproject.com/
cache,artwork,Analogue openFPGA Platform Art Set,https://github.com/spiritualized1997/openFPGA-Platform-Art-Set
cache,"retro,video",Arcade Database,https://www.youtube.com/@ArcadeDatabase/videos
cache,launch,Awesome-launch,https://github.com/KingMenes/awesome-launch
mark,"cursor,linux",Bibata Cursor Rainbow,https://github.com/ful1e5/Bibata_Cursor_Rainbow
later,web,Calculating Empires,https://calculatingempires.net
mark,"cursor,linux",Chroma Cursors for Linux,https://gnome-look.org/p/2045954
cache,license,Creative Commons Licenses for GitHub Projects,https://github.com/santisoler/cc-licenses
later,"imagemagick,script",Fred's ImageMagick Scripts,http://www.fmwconcepts.com/imagemagick/filmgrain/index.php
cache,"theme,windows",Gruvbox for Windows,https://www.deviantart.com/niivu/art/Gruvbox-for-Windows-913766735
cache,ui,Hand-Drawn Arrows,https://github.com/eronred/handy-arrows
cache,icon,Lucide,https://github.com/lucide-icons/lucide
cache,"theme,windows",Macindows for Windows 10,https://www.deviantart.com/niivu/art/Macindows-for-Windows-10-870073866
cache,"krita,brush",Metallics by Draneria,https://github.com/Draneria/Metallics-by-Draneria_Krita-Brushes
extra,icon,React Icons,https://github.com/react-icons/react-icons
cache,"krita,brush",STIPPLE BEAST EVOLVED Brush Pack,https://tombofnull.itch.io/stipple-beast-evolved-brush-pack
cache,data,etymology-db,https://github.com/droher/etymology-db
cache,audiobook,greek_audiobooks,https://github.com/nikolas-n/greek_audiobooks
cache,"cursor,windows",mini.cur,https://github.com/rghv234/mini.cur
cache,ui,shadcn/ui,https://github.com/shadcn-ui/ui
