tag,link,prompt
Anime,https://midjourneysref.com/srefcodedetail/--sref%201031632279,--sref 1031632279
"Anime,Black",https://midjourneysref.com/srefcodedetail/--sref%20107126501,--sref 107126501
"Vector,Blue",https://midjourneysref.com/srefcodedetail/--sref%201406843535,--sref 1406843535
"Surrealistic,Golden",https://midjourneysref.com/srefcodedetail/--sref%201468540376,--sref 1468540376
"Anime,Black",https://midjourneysref.com/srefcodedetail/--sref%201557937270,--sref 1557937270
"Cartoon,Illustration",https://midjourneysref.com/srefcodedetail/--sref%201734182882,--sref 1734182882
"Black,Illustration",https://midjourneysref.com/srefcodedetail/--sref%202046525074,--sref 2046525074
"Photography,Surrealistic,Cyberpunk",https://midjourneysref.com/srefcodedetail/--sref%202080085287,--sref 2080085287
"Anime,Vintage,Studio Ghibli",https://midjourneysref.com/srefcodedetail/--sref%202131889852,--sref 2131889852
"Anime,Manga art,Comic book",https://midjourneysref.com/srefcodedetail/--sref%202474514122,--sref 2474514122
"Photography,Vintage,Realistic",https://midjourneysref.com/srefcodedetail/--sref%203413501416,--sref 3413501416
"Vector,Bule",https://midjourneysref.com/srefcodedetail/--sref%203419166119,--sref 3419166119
"Purple,Anime",https://midjourneysref.com/srefcodedetail/--sref%203577878952,--sref 3577878952
"Pink,Anime,Flat vector,Illustration",https://midjourneysref.com/srefcodedetail/--sref%203846026342,--sref 3846026342
"Red,Black,Photography",https://midjourneysref.com/srefcodedetail/--sref%203864581377,--sref 3864581377
"Blue,Illustration,Flat vector",https://midjourneysref.com/srefcodedetail/--sref%203897881209,--sref 3897881209
"Manga art,Comic book",https://midjourneysref.com/srefcodedetail/--sref%204011641025,--sref 4011641025
"Vintage,Illustration",https://midjourneysref.com/srefcodedetail/--sref%204225596459,--sref 4225596459
"Photography,Blue,Realistic",https://midjourneysref.com/srefcodedetail/--sref%20587899320,--sref 587899320
"Anime,Manga art,Green,Dark fantasy",https://midjourneysref.com/srefcodedetail/--sref%20742595086,--sref 742595086
